### Device Test Report
 
| Board | Device | TotalPin | TestedPin | TestResult |
| ----- | ------ | -------- | --------- | ---------- |
| BMC_Interposer | J1 | 168 | 168 PASS |  
| BMC_Interposer | J3 | 74 | 70 PASS |  
| BMC_Interposer | J4 | 74 | 73 PASS |  
| BMC_Interposer | J6 | 6 | 6 | PASS |
| BMC_Interposer | J7 | 74 | 73 PASS |  
| BMC_Interposer | R1 | 2 | 2 PASS |  
| BMC_Interposer | R10 | 2 | 2 | PASS |
| BMC_Interposer | R100 | 2 | 2 | PASS |
| BMC_Interposer | R101 | 2 | 2 | PASS |
| BMC_Interposer | R11 | 2 | 2 | PASS |
| BMC_Interposer | R12 | 2 | 2 | PASS |
| BMC_Interposer | R13 | 2 | 2 | PASS |
| BMC_Interposer | R14 | 2 | 2 | PASS |
| BMC_Interposer | R15 | 2 | 2 | PASS |
| BMC_Interposer | R151 | 2 | 2 | PASS |
| BMC_Interposer | R152 | 2 | 2 | PASS |
| BMC_Interposer | R153 | 2 | 2 | PASS |
| BMC_Interposer | R154 | 2 | 2 | PASS |
| BMC_Interposer | R155 | 2 | 2 | PASS |
| BMC_Interposer | R16 | 2 | 2 | PASS |
| BMC_Interposer | R165 | 2 | 1 | PASS |
| BMC_Interposer | R17 | 2 | 2 | PASS |
| BMC_Interposer | R18 | 2 | 2 | PASS |
| BMC_Interposer | R19 | 2 | 2 | PASS |
| BMC_Interposer | R194 | 2 | 2 | PASS |
| BMC_Interposer | R195 | 2 | 1 | PASS |
| BMC_Interposer | R2 | 2 | 2 | PASS |
| BMC_Interposer | R20 | 2 | 2 | PASS |
| BMC_Interposer | R21 | 2 | 2 | PASS |
| BMC_Interposer | R22 | 2 | 2 | PASS |
| BMC_Interposer | R23 | 2 | 2 | PASS |
| BMC_Interposer | R24 | 2 | 2 | PASS |
| BMC_Interposer | R25 | 2 | 2 | PASS |
| BMC_Interposer | R26 | 2 | 2 PASS |  
| BMC_Interposer | R27 | 2 | 2 PASS |  
| BMC_Interposer | R28 | 2 | 2 | PASS |
| BMC_Interposer | R3 | 2 | 2 | PASS |
| BMC_Interposer | R31 | 2 | 2 | PASS |
| BMC_Interposer | R32 | 2 | 2 | PASS |
| BMC_Interposer | R33 | 2 | 2 | PASS |
| BMC_Interposer | R34 | 2 | 2 | PASS |
| BMC_Interposer | R35 | 2 | 2 | PASS |
| BMC_Interposer | R36 | 2 | 2 | PASS |
| BMC_Interposer | R37 | 2 | 2 | PASS |
| BMC_Interposer | R38 | 2 | 2 | PASS |
| BMC_Interposer | R39 | 2 | 2 | PASS |
| BMC_Interposer | R4 | 2 | 2 | PASS |
| BMC_Interposer | R40 | 2 | 2 | PASS |
| BMC_Interposer | R41 | 2 | 2 | PASS |
| BMC_Interposer | R42 | 2 | 2 | PASS |
| BMC_Interposer | R43 | 2 | 2 | PASS |
| BMC_Interposer | R44 | 2 | 2 | PASS |
| BMC_Interposer | R45 | 2 | 2 | PASS |
| BMC_Interposer | R46 | 2 | 2 | PASS |
| BMC_Interposer | R47 | 2 | 2 | PASS |
| BMC_Interposer | R48 | 2 | 2 PASS |  
| BMC_Interposer | R49 | 2 | 2 PASS |  
| BMC_Interposer | R5 | 2 | 2 | PASS |
| BMC_Interposer | R50 | 2 | 2 PASS |  
| BMC_Interposer | R51 | 2 | 2 | PASS |
| BMC_Interposer | R52 | 2 | 2 | PASS |
| BMC_Interposer | R53 | 2 | 2 | PASS |
| BMC_Interposer | R54 | 2 | 2 | PASS |
| BMC_Interposer | R55 | 2 | 2 | PASS |
| BMC_Interposer | R56 | 2 | 2 | PASS |
| BMC_Interposer | R57 | 2 | 2 | PASS |
| BMC_Interposer | R58 | 2 | 2 | PASS |
| BMC_Interposer | R59 | 2 | 2 | PASS |
| BMC_Interposer | R6 | 2 | 2 | PASS |
| BMC_Interposer | R60 | 2 | 2 | PASS |
| BMC_Interposer | R61 | 2 | 2 | PASS |
| BMC_Interposer | R62 | 2 | 2 | PASS |
| BMC_Interposer | R63 | 2 | 2 | PASS |
| BMC_Interposer | R64 | 2 | 2 | PASS |
| BMC_Interposer | R65 | 2 | 2 | PASS |
| BMC_Interposer | R66 | 2 | 2 | PASS |
| BMC_Interposer | R67 | 2 | 2 | PASS |
| BMC_Interposer | R68 | 2 | 2 | PASS |
| BMC_Interposer | R69 | 2 | 2 | PASS |
| BMC_Interposer | R7 | 2 | 2 | PASS |
| BMC_Interposer | R70 | 2 | 2 | PASS |
| BMC_Interposer | R71 | 2 | 2 | PASS |
| BMC_Interposer | R72 | 2 | 2 | PASS |
| BMC_Interposer | R73 | 2 | 2 | PASS |
| BMC_Interposer | R74 | 2 | 2 | PASS |
| BMC_Interposer | R75 | 2 | 2 | PASS |
| BMC_Interposer | R76 | 2 | 2 | PASS |
| BMC_Interposer | R77 | 2 | 2 | PASS |
| BMC_Interposer | R78 | 2 | 2 | PASS |
| BMC_Interposer | R79 | 2 | 2 | PASS |
| BMC_Interposer | R8 | 2 | 2 | PASS |
| BMC_Interposer | R80 | 2 | 2 | PASS |
| BMC_Interposer | R81 | 2 | 2 | PASS |
| BMC_Interposer | R82 | 2 | 2 | PASS |
| BMC_Interposer | R83 | 2 | 2 | PASS |
| BMC_Interposer | R84 | 2 | 2 | PASS |
| BMC_Interposer | R85 | 2 | 2 | PASS |
| BMC_Interposer | R86 | 2 | 2 | PASS |
| BMC_Interposer | R87 | 2 | 2 | PASS |
| BMC_Interposer | R88 | 2 | 2 | PASS |
